%	VERSION NUMBER:	1
%	FILE DATE:	Fri Jul 29 11:09:15 2022	
%	FILE NAME:	
%	
%	FILE TYPE:	TIME HISTORY
%	SAMPLE INTERVAL TYPE:	FIXED
%	SAMPLE INTERVAL UNIT TYPE:	Time
%	SAMPLE INTERVAL UNIT NAME:	sec
%	SAMPLE INTERVAL SIZE:	0.001
%       DISPLACEMENT UNIT:  mm


0.000	0
0.001	1.53E-05
0.002	9.18E-05
0.003	0.000290091
0.004	0.000670179
0.005	0.001291402
0.006	0.002212417
0.007	0.003491204
0.008	0.005185055
0.009	0.007350575
0.010	0.01004367
0.011	0.013319545
0.012	0.017232695
0.013	0.021836903
0.014	0.02718523
0.015	0.033330014
0.016	0.040322861
0.017	0.048214643
0.018	0.057055488
0.019	0.066894779
0.020	0.077781147
0.021	0.089762466
0.022	0.102885848
0.023	0.117197638
0.024	0.132743411
0.025	0.149567962
0.026	0.167715309
0.027	0.187228681
0.028	0.20815052
0.029	0.23052247
0.030	0.254385378
0.031	0.279779287
0.032	0.306743434
0.033	0.335316244
0.034	0.365535325
0.035	0.397437469
0.036	0.431058643
0.037	0.466433987
0.038	0.503597813
0.039	0.542583598
0.040	0.583423982
0.041	0.626150765
0.042	0.670794905
0.043	0.717386512
0.044	0.765954848
0.045	0.816528322
0.046	0.869134489
0.047	0.923800047
0.048	0.980550832
0.049	1.039411822
0.050	1.100407126
0.051	1.163559989
0.052	1.228892788
0.053	1.296427028
0.054	1.366183343
0.055	1.438181492
0.056	1.512440359
0.057	1.588977951
0.058	1.667811398
0.059	1.748956949
0.060	1.832429974
0.061	1.918244962
0.062	2.006415517
0.063	2.096954364
0.064	2.189873343
0.065	2.28518341
0.066	2.382894638
0.067	2.483016215
0.068	2.585556445
0.069	2.690522748
0.070	2.797921662
0.071	2.907758839
0.072	3.020039048
0.073	3.134766179
0.074	3.251943238
0.075	3.37157235
0.076	3.493654762
0.077	3.618190843
0.078	3.745180084
0.079	3.8746211
0.080	4.006511634
0.081	4.140848555
0.082	4.277627864
0.083	4.416844692
0.084	4.558493304
0.085	4.702567103
0.086	4.84905863
0.087	4.997959566
0.088	5.149260737
0.089	5.302952118
0.090	5.459022831
0.091	5.617461153
0.092	5.778254517
0.093	5.941389517
0.094	6.106851909
0.095	6.274626617
0.096	6.444697738
0.097	6.617048541
0.098	6.791661477
0.099	6.968518181
0.100	7.147599475
0.101	7.328885374
0.102	7.512355092
0.103	7.697987045
0.104	7.885758856
0.105	8.075647361
0.106	8.267628616
0.107	8.461677899
0.108	8.657769717
0.109	8.855877814
0.110	9.055975175
0.111	9.25803403
0.112	9.462025864
0.113	9.667921422
0.114	9.875690714
0.115	10.08530302
0.116	10.29672692
0.117	10.50993024
0.118	10.72488014
0.119	10.94154306
0.120	11.15988475
0.121	11.37987028
0.122	11.60146404
0.123	11.82462976
0.124	12.0493305
0.125	12.27552866
0.126	12.50318602
0.127	12.73226369
0.128	12.96272219
0.129	13.19452138
0.130	13.42762054
0.131	13.66197834
0.132	13.89755285
0.133	14.13430156
0.134	14.37218139
0.135	14.6111487
0.136	14.85115927
0.137	15.09216835
0.138	15.33413067
0.139	15.5770004
0.140	15.82073121
0.141	16.06527628
0.142	16.31058826
0.143	16.55661935
0.144	16.80332123
0.145	17.05064517
0.146	17.29854194
0.147	17.54696189
0.148	17.79585492
0.149	18.04517054
