Time(s)	Displacement(m)
0	0
0.01	2.83535870362647E-09
0.02	5.90122357316639E-09
0.03	9.40187713687094E-09
0.04	1.34353768301003E-08
0.05	1.7445475546056E-08
0.06	2.05608453845033E-08
0.07	2.21462505266174E-08
0.08	2.07094312810931E-08
0.09	1.33315385496084E-08
0.1	1.39227586236765E-09
0.11	-1.39568401384559E-08
0.12	-3.4756489040205E-08
0.13	-5.95536728017769E-08
0.14	-8.1781238362941E-08
0.15	-9.23133691523824E-08
0.16	-9.46918597979269E-08
0.17	-1.04634922074294E-07
0.18	-1.28872451781817E-07
0.19	-1.65634134295018E-07
0.2	-2.07765702750175E-07
0.21	-2.40661399857685E-07
0.22	-2.65660060415551E-07
0.23	-3.07092349078193E-07
0.24	-3.74516066332235E-07
0.25	-4.57362432153532E-07
0.26	-5.55694031128462E-07
0.27	-7.10744983138268E-07
0.28	-9.78996053178072E-07
0.29	-1.28948303034E-06
0.3	-1.58410764611368E-06
0.31	-1.84381322196485E-06
0.32	-2.06209376888477E-06
0.33	-2.20556303179073E-06
0.34	-2.315500923909E-06
0.35	-2.50381495196008E-06
0.36	-2.83524621167155E-06
0.37	-3.23660806550421E-06
0.38	-3.69672083682489E-06
0.39	-4.23101310915982E-06
0.4	-4.79075229236758E-06
0.41	-5.3815501508099E-06
0.42	-6.04604848308929E-06
0.43	-6.7520974979958E-06
0.44	-7.41502005915195E-06
0.45	-8.04975830518039E-06
0.46	-8.78653764210101E-06
0.47	-9.63133309485916E-06
0.48	-1.05021853298804E-05
0.49	-1.14244865717448E-05
0.5	-1.23345801828889E-05
0.51	-1.32381064150793E-05
0.52	-1.42173204139664E-05
0.53	-1.52637089130559E-05
0.54	-1.64119303149656E-05
0.55	-1.78066417262559E-05
0.56	-1.94894640919705E-05
0.57	-2.14816969184636E-05
0.58	-2.3672192807046E-05
0.59	-2.59400918653181E-05
0.6	-2.80987886724525E-05
0.61	-3.00694526531706E-05
0.62	-3.20276677122064E-05
0.63	-3.40873684589344E-05
0.64	-3.62733535410798E-05
0.65	-3.84472448416646E-05
0.66	-4.04614662806602E-05
0.67	-4.25138141792316E-05
0.68	-4.4874725909534E-05
0.69	-4.75871982705751E-05
0.7	-5.05669521248629E-05
0.71	-5.37642096293219E-05
0.72	-5.7047329221804E-05
0.73	-6.02554312167282E-05
0.74	-6.31446964162978E-05
0.75	-6.59249260706396E-05
0.76	-6.88594927382693E-05
0.77	-7.18077743240163E-05
0.78	-7.47256506020859E-05
0.79	-7.78475385630446E-05
0.8	-8.10148822856663E-05
0.81	-8.4086411146365E-05
0.82	-8.69580872114972E-05
0.83	-8.95770595734557E-05
0.84	-9.20110533372989E-05
0.85	-9.43324019781316E-05
0.86	-9.66039255872971E-05
0.87	-9.89213596612153E-05
0.88	-0.000101186731922272
0.89	-0.000103415926121151
0.9	-0.000106112520354809
0.91	-0.000109299827298317
0.92	-0.000113109328396927
0.93	-0.000118076991132723
0.94	-0.000123816461100585
0.95	-0.00012966362358264
0.96	-0.000135214520317682
0.97	-0.000140486275048831
0.98	-0.00014567085253259
0.99	-0.000150847095996614
1	-0.000156096829984396
1.01	-0.000161710352806312
1.02	-0.000167688001064157
1.03	-0.000174167587333884
1.04	-0.000181238131416716
1.05	-0.000188493002310753
1.06	-0.000195736175955759
1.07	-0.000203158032573113
1.08	-0.000210553158262933
1.09	-0.000217152630009713
1.1	-0.000222639992754686
1.11	-0.000227405397308299
1.12	-0.000232355803405
1.13	-0.000237400394082149
1.14	-0.000242438692756081
1.15	-0.000248052123307395
1.16	-0.000254389081980134
1.17	-0.000260737032218106
1.18	-0.000266493750979937
1.19	-0.00027172999271737
1.2	-0.000276790218566904
1.21	-0.000282356073403882
1.22	-0.000288908682028941
1.23	-0.000296360180504351
1.24	-0.00030432608013829
1.25	-0.000312460074798969
1.26	-0.000320536624608396
1.27	-0.00032837397882308
1.28	-0.000336035063980276
1.29	-0.000343956007526759
1.3	-0.000352410378513802
1.31	-0.000361269920862411
1.32	-0.000370024343227241
1.33	-0.000378163834879991
1.34	-0.000385687030053602
1.35	-0.000392747767172771
1.36	-0.000399543936825641
1.37	-0.00040676800560336
1.38	-0.00041449382288397
1.39	-0.000422397219934139
1.4	-0.00043050862184761
1.41	-0.000438788825905839
1.42	-0.000446583427231287
1.43	-0.000453322054150153
1.44	-0.000459727888413833
1.45	-0.000466665620111271
1.46	-0.00047407803497161
1.47	-0.00048247983890017
1.48	-0.000491804573913783
1.49	-0.000501357849254903
1.5	-0.000510263390422138
1.51	-0.000518394985551393
1.52	-0.000526346351373336
1.53	-0.000534535025249232
1.54	-0.000543072539165369
1.55	-0.000552113869845182
1.56	-0.00056134399800893
1.57	-0.00057038032350968
1.58	-0.000579035056491891
1.59	-0.000587436598990517
1.6	-0.000595858357769242
1.61	-0.000604829864338601
1.62	-0.000614397537213214
1.63	-0.000624183129631303
1.64	-0.000633619098137711
1.65	-0.000642210420866181
1.66	-0.000649856581006751
1.67	-0.000656857204010194
1.68	-0.000663311589999963
1.69	-0.000669918880979948
1.7	-0.000677665547912961
1.71	-0.000687451244110816
1.72	-0.000698793772489381
1.73	-0.000710782502939705
1.74	-0.000722489173636038
1.75	-0.000733726940232545
1.76	-0.000744217328624356
1.77	-0.000753890036837776
1.78	-0.000762756557913337
1.79	-0.000770660777270774
1.8	-0.000778288565570509
1.81	-0.000786221166474294
1.82	-0.000794610824158292
1.83	-0.000802953269933446
1.84	-0.000810500202067931
1.85	-0.000816498602090865
1.86	-0.000821122881413682
1.87	-0.000825175478212916
1.88	-0.000829643028222075
1.89	-0.000835245632492392
1.9	-0.000843597930729608
1.91	-0.000854663834473685
1.92	-0.00086820641195866
1.93	-0.000884011232873489
1.94	-0.000901111581658635
1.95	-0.000918788846872868
1.96	-0.000935607388551892
1.97	-0.000950332222794613
1.98	-0.000962240749356087
1.99	-0.000971605275797708
2	-0.000978079968316235
2.01	-0.000981265620153605
2.02	-0.000983367483179365
2.03	-0.000987611421050865
2.04	-0.000995959588091499
2.05	-0.00100821857862873
2.06	-0.00102362482444078
2.07	-0.00103966565555169
2.08	-0.00105486065819962
2.09	-0.00106924175072669
2.1	-0.00108438363034578
2.11	-0.00110174568989231
2.12	-0.00112198712746513
2.13	-0.00114533539092859
2.14	-0.00117357605192222
2.15	-0.00120629154363032
2.16	-0.00124185294124458
2.17	-0.00127960462899304
2.18	-0.00131932972284234
2.19	-0.00136077209446388
2.2	-0.00140203910475121
2.21	-0.00144100175573023
2.22	-0.00147495816528104
2.23	-0.00150385843183319
2.24	-0.00153146001933123
2.25	-0.00156286398888881
2.26	-0.00159881242703469
2.27	-0.00163710327976019
2.28	-0.00167554143466869
2.29	-0.00171497492526992
2.3	-0.00175769322758887
2.31	-0.00180486482073289
2.32	-0.00185659961996212
2.33	-0.00191307302040738
2.34	-0.0019724467165732
2.35	-0.00203386018762038
2.36	-0.00209729091936302
2.37	-0.00216149559008467
2.38	-0.00222364234766899
2.39	-0.00228088446256474
